id,name,categories/0/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/city,location/zip_code
yrUDeng1LrDvgyyjI5GiHA,Pho Quynh,Vietnamese,4.5,35.211296081543,-80.7613372802734,$$,4900 Central Ave,Charlotte,28205
PqcOSnCsJTT9Yd2xWKIMWw,La Shish Kabob,Middle Eastern,4.5,35.2032998,-80.7604348,$,3117-A N Sharon Amity,Charlotte,28205
LdhprCGxa0inFo5P812EIg,Loft & Cellar,Cocktail Bars,3.5,35.2282036722545,-80.8464987203479,$$,305 W 4th St,Charlotte,28202
VH3WA7a-OVzFj2K_SP4BIw,The King's Kitchen,American (Traditional),4.0,35.2280098136565,-80.8442559630758,$$,129 W Trade St,Charlotte,28202
trAd97ig2agtkZl2cimOMQ,Something Classic Cafe,American (New),4.0,35.22822,-80.84099,$,220 N Tryon St,Charlotte,28263
QFqtVX-lyZQgVHQrG-dhlg,Diamond Restaurant,Southern,3.5,35.21909,-80.81317,$,1901 Commonwealth Ave,Charlotte,28205
l9tFVg7r7QXuLnCywMQl7Q,The Daily Tavern,American (New),4.5,35.2294337656203,-80.8419475618761,$$,214 N Church St,Charlotte,28202
Cbr_THdFrhePgJoqQ9X6gQ,Pho Hoa Noodle Soup,Vietnamese,4.5,35.217429,-80.794365,$,3000 Central Ave,Charlotte,28205
SHFlELFcEcAOJv_fTAKChQ,Dandelion Market,Bars,4.0,35.2286689,-80.84241,$$,118 W 5th St,Charlotte,28202
K3iw26MkmSBPAM7BzHkIYQ,Yama Asian Fusion,Japanese,4.0,35.157295,-80.824004,$$,720 Governor Morrison St,Charlotte,28211
bgvm73MMjC2f5qo_RgXOXg,Halcyon,Cocktail Bars,4.0,35.224421,-80.848247,$$$,500 S Tryon St,Charlotte,28202
QvxBnMcBPP1z_NAIYCqqdA,Haberdish,Southern,4.5,35.246509552002,-80.8061065673828,$$,3106 N Davidson St,Charlotte,28205
2um9bzTSvD3f2tkdBoA38g,Kid Cashew,Mediterranean,4.0,35.1991851,-80.8414488,$$,1608 East Blvd,Charlotte,28203
Ch7NAhB_MWSDwcNbcptEKg,Mimosa Grill,Southern,4.0,35.224472,-80.845472,$$,327 S Tryon St,Charlotte,28202
B1imfnKRvcotaYacPGUrLQ,Carpe Diem Restaurant & Caterers,American (New),4.0,35.21413,-80.82649,$$$,1535 Elizabeth Ave,Charlotte,28204
8xTuXU5uZ85WF-ZGqDNv_w,Leroy Fox South End,Southern,4.0,35.21416,-80.85804,$$,1616 Camden Rd,Charlotte,28203
WbJ1LRQdOuYYlRLyTkuuxw,Tupelo Honey,Southern,4.0,35.2111775622096,-80.8586042199391,$$,1820 South Blvd,Charlotte,28203
Z072pEHdos2Gjj3nMdR6uA,Luce Restaurant & Bar,Italian,4.0,35.22777,-80.84071,$$$,214 N Tryon St,Charlotte,28202
sJpl9ufYT87UWhtW-5UkmQ,Fitzgerald's,Irish,3.5,35.2268736,-80.8407635,$$,201 E 5th St,Charlotte,28202
KbLI0QELlAwbfDUVwo43DQ,Cajun Yard Dog,Cajun/Creole,4.0,35.0971237982375,-80.7805609703064,$$,8036 Providence Rd,Charlotte,28277
QHe9ZMcryK0tcJu1Eyylsw,JP Charlotte at Westin,Diners,3.5,35.2215950971688,-80.8474606275558,$$,601 S College St,Charlotte,28202
Yc5_nA9NqqxOp8WCugF-Ng,500 Degrees Pizzeria,Pizza,4.0,35.15357,-80.87615,$,6037 South Blvd,Charlotte,28217
U66Hketxx9udNd3dMmfPQA,Zoewee's,African,4.0,35.25672,-80.79606,$$,4112 N Tryon St,Charlotte,28206
vOdiLz0dTiyHmkbv61HYGQ,Ty's Wings & Tings,Chicken Wings,4.5,35.23527,-80.73645,$$,5708 N Sharon Amity Rd,Charlotte,28215
D2ojX9bvE0_-aIj9BhdZZA,300 East,American (New),4.0,35.210281,-80.856636,$$,300 East Blvd,Charlotte,28203
bcTwvbD5wfMSgSO-YczLYw,The Workman's Friend,Irish Pub,4.5,35.220588,-80.812271,$$,1531 Central Ave,Charlotte,28205
NVJ1rVXyThay6Om-Q2LKJA,Cedar Land,Lebanese,4.0,35.211861,-80.761811,$,4832 Central Ave,Charlotte,28205
MfmBd9C7tUfOkGu2eJpK2w,Sunflower Family Restaurant,Diners,4.5,35.29321,-80.83786,$,5400 Statesville Rd,Charlotte,28269
g-ftCJsLjDZgYzrjUf7gng,Hunan Express Chinese Restaurant,Chinese,3.0,35.19191,-80.79713,$,901 N Wendover Rd,Charlotte,28211
trodK1jXLGIn5qjJCooIpQ,Rooster's at Southpark,Southern,4.0,35.15387,-80.82777,$$,6601 Morrison Blvd,Charlotte,28211
bcTeQtSdHW5pyLjXz05QEg,Fran's Filling Station,American (New),3.5,35.1979022,-80.8519628,$$,2410 Park Rd,Charlotte,28203
S9QkaFZ-64t8KpWvC5m4lA,Barreled At The Lift,Hookah Bars,4.0,35.1720913,-80.8492887,$$,1600 E Woodlawn Rd,Charlotte,28209
kXoCEwQ1Qr9Ft6uObAvCBQ,Pollo Campero,Latin American,4.0,35.15191,-80.87684,$,6124 South Blvd,Charlotte,28217
CAmPPSKoFCd8zo2bxRxRkA,Dino's Family Restaurant,Breakfast & Brunch,4.0,35.25471,-80.79371,$,350 E Sugar Creek Rd,Charlotte,28213
x6n14NifL1K1-kimB83GVA,Seoul Poke Bowl,Poke,4.5,35.19241,-80.87323,$$,3609 South Blvd,Charlotte,28209
vqG1Z2XpS_PryPsfY0CSng,The Capital Grille,Steakhouses,4.5,35.2283137726241,-80.8419989013275,$$$,201 N Tryon St,Charlotte,28202
R2gNwPARX31w68wjhuJ0zw,Hickory Tavern,Sports Bars,3.5,35.212829,-80.835897,$$,1100 Metropolitan Ave,Charlotte,28204
01fuY2NNscttoTxOYbuZXw,Pinky's Westside Grill,Burgers,4.0,35.22912,-80.86738,$,1600 W Morehead St,Charlotte,28208
bXbCGFk3ZjLcTdQQB-xPyQ,Luciano's Ristorante Italiano,Italian,4.0,35.210707,-80.859637,$$,1910 South Blvd,Charlotte,28203
JIvZVRb4nsuXpCU75SEkFw,Kopper Kettle Restaurant,American (Traditional),4.5,35.1142539978027,-80.9128646850586,$,11000 Nations Ford Rd,Pineville,28134
o0Y5O_D8RQCx0NEwqPjASQ,Evoke,Wine Bars,3.5,35.21686,-80.83809,$$$,555 S McDowell St,Charlotte,28204
7rh29SPJMkyeI2BJcjqzLQ,Beijing Chinese Cuisine,Chinese,3.5,35.2134281937784,-80.8555153012276,$,1603 S Blvd,Charlotte,28203
uz8ISWdE0OSJBjArw4P4Og,Mellow Mushroom,Pizza,3.0,35.2258610579236,-80.8477123135281,$$,255 W Martin Luther King Blvd,Charlotte,28202
tTEtAzGbydufWtgOqCMquA,The Flipside Cafe,Breakfast & Brunch,4.5,35.0777216,-80.934358,$$,3150 Hwy 21 N,Fort Mill,29715
H-PmFfqAzQtWTS0XeWC_lw,Greco Fresh Grille,Greek,4.5,35.0351799,-80.80697,$,9820 E Rea Rd,Charlotte,28277
yIxP32hWfZm5gyYUUh2WBA,Bonterra Restaurant & Wine Room,American (New),3.5,35.2100942,-80.8571985,$$$,1829 Cleveland Ave,Charlotte,28203
eAZqT24e0Pk8apWzy3RsAQ,McKoy's Smokehouse & Saloon,Barbeque,4.0,35.1788,-80.88005,$$,4630 Old Pineville Rd,Charlotte,28217
yIBeZebnXb-hvexqknnDCg,McNinch House Restaurant,French,4.0,35.23172,-80.83967,$$$$,511 N Church St,Charlotte,28202
H4E4sZ6PKBef65hU0GKi_g,StrikeCity,Sports Bars,3.0,35.2248680662701,-80.8420255958605,$$,210 E Trade St,Charlotte,28202
ZlrHrg7jrbO6blqwfa0MkQ,Baoding,Chinese,4.0,35.1475296,-80.8314896,$$,4722 Sharon Rd,Charlotte,28210
wC-wLFVCIjXArsrMuUJdYQ,Hunan Park,Chinese,3.5,35.3716758,-80.7843814,$,5818 Prosperity Church Rd,Charlotte,28269
HMJ0-SIWhvzFIkoWb2H9hQ,Salsarita's Fresh Mexican Grill,Mexican,3.0,35.176142,-80.80239,$,304 S Sharon Amity Rd,Charlotte,28211
QAHqplESgDUGgih45W9J-g,Dressler's - Charlotte,Seafood,4.5,35.21267,-80.83563,$$$,1100-E Metropolitan Ave,Charlotte,28204
bm_PGQMGMjylitqkNIEzTw,Vivace,Italian,4.0,35.2120561773333,-80.8361443055572,$$,1100 Metropolitan Ave,Charlotte,28204
nHdsHdq35JflGzliWVqG-Q,Johnny Burrito,Mexican,4.5,35.2255395054817,-80.8454268425703,$,301 S Tryon St,Charlotte,28282
