id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,phone,display_phone,distance,transactions/0,transactions/1,categories/1/alias,categories/1/title,categories/2/alias,categories/2/title,location/display_address/2,,,,,,,,,,,,,,,,,,
yrUDeng1LrDvgyyjI5GiHA,pho-quynh-charlotte,Pho Quynh,https://s3-media4.fl.yelpcdn.com/bphoto/MnKklwi-SAgQxUc3K8dCaA/o.jpg,FALSE,https://www.yelp.com/biz/pho-quynh-charlotte?adjust_creative=DpBLZI234zHMqom8nR0rbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DpBLZI234zHMqom8nR0rbg,43,vietnamese,Vietnamese,4.5,35.21129608,-80.76133728,$$,4900 Central Ave,,,Charlotte,28205,US,NC,4900 Central Ave,"Charlotte, NC 28205",19802019124,(980) 201-9124,6510.889977,,,,,,,,,,,,,,,,,,,,,,,,,
PqcOSnCsJTT9Yd2xWKIMWw,la-shish-kabob-charlotte,La Shish Kabob,https://s3-media2.fl.yelpcdn.com/bphoto/Omf3DF1Y03SaHwEjdl9LOg/o.jpg,FALSE,https://www.yelp.com/biz/la-shish-kabob-charlotte?adjust_creative=DpBLZI234zHMqom8nR0rbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DpBLZI234zHMqom8nR0rbg,298,mideastern,Middle Eastern,4.5,35.2032998,-80.7604348,$,3117-A N Sharon Amity,,,Charlotte,28205,US,NC,3117-A N Sharon Amity,"Charlotte, NC 28205",17045677900,(704) 567-7900,6366.918179,pickup,delivery,,,,,,,,,,,,,,,,,,,,,,,
LdhprCGxa0inFo5P812EIg,loft-and-cellar-charlotte,Loft & Cellar,https://s3-media2.fl.yelpcdn.com/bphoto/dOSRTqC7pFXYVYWOab-LXw/o.jpg,FALSE,https://www.yelp.com/biz/loft-and-cellar-charlotte?adjust_creative=DpBLZI234zHMqom8nR0rbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DpBLZI234zHMqom8nR0rbg,55,cocktailbars,Cocktail Bars,3.5,35.22820367,-80.84649872,$$,305 W 4th St,,,Charlotte,28202,US,NC,305 W 4th St,"Charlotte, NC 28202",17048179057,(704) 817-9057,3854.983765,,,wine_bars,Wine Bars,newamerican,American (New),,,,,,,,,,,,,,,,,,,
VH3WA7a-OVzFj2K_SP4BIw,the-kings-kitchen-charlotte,The King's Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/wGKQhL34wgA2GUI45UVtLA/o.jpg,FALSE,https://www.yelp.com/biz/the-kings-kitchen-charlotte?adjust_creative=DpBLZI234zHMqom8nR0rbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DpBLZI234zHMqom8nR0rbg,576,tradamerican,American (Traditional),4,35.22800981,-80.84425596,$$,129 W Trade St,,,Charlotte,28202,US,NC,129 W Trade St,"Charlotte, NC 28202",17043751990,(704) 375-1990,3762.702857,pickup,,southern,Southern,soulfood,Soul Food,,,,,,,,,,,,,,,,,,,
trAd97ig2agtkZl2cimOMQ,something-classic-cafe-charlotte,Something Classic Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/kSy_l4K3kMmq2dLQnjCf7Q/o.jpg,FALSE,https://www.yelp.com/biz/something-classic-cafe-charlotte?adjust_creative=DpBLZI234zHMqom8nR0rbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DpBLZI234zHMqom8nR0rbg,27,newamerican,American (New),4,35.22822,-80.84099,$,220 N Tryon St,,Hearst Courtyard,Charlotte,28263,US,NC,220 N Tryon St,Hearst Courtyard,17043319158,(704) 331-9158,3681.200418,,,sandwiches,Sandwiches,,,"Charlotte, NC 28263",,,,,,,,,,,,,,,,,,
QFqtVX-lyZQgVHQrG-dhlg,diamond-restaurant-charlotte,Diamond Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/Mr20vuH1BO6Pa8x_KoUUmw/o.jpg,FALSE,https://www.yelp.com/biz/diamond-restaurant-charlotte?adjust_creative=DpBLZI234zHMqom8nR0rbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DpBLZI234zHMqom8nR0rbg,367,southern,Southern,3.5,35.21909,-80.81317,$,1901 Commonwealth Ave,,,Charlotte,28205,US,NC,1901 Commonwealth Ave,"Charlotte, NC 28205",17043758959,(704) 375-8959,3000.157078,,,newamerican,American (New),,,,,,,,,,,,,,,,,,,,,
l9tFVg7r7QXuLnCywMQl7Q,the-daily-tavern-charlotte,The Daily Tavern,https://s3-media3.fl.yelpcdn.com/bphoto/9CSbopPSxr_FOyPxSgfziw/o.jpg,FALSE,https://www.yelp.com/biz/the-daily-tavern-charlotte?adjust_creative=DpBLZI234zHMqom8nR0rbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DpBLZI234zHMqom8nR0rbg,74,newamerican,American (New),4.5,35.22943377,-80.84194756,$$,214 N Church St,,,Charlotte,28202,US,NC,214 N Church St,"Charlotte, NC 28202",19802099546,(980) 209-9546,3850.770071,,,beerbar,Beer Bar,cocktailbars,Cocktail Bars,,,,,,,,,,,,,,,,,,,
Cbr_THdFrhePgJoqQ9X6gQ,pho-hoa-noodle-soup-charlotte-3,Pho Hoa Noodle Soup,https://s3-media1.fl.yelpcdn.com/bphoto/XHqpMNaHF8fi7AZL_hSsQQ/o.jpg,FALSE,https://www.yelp.com/biz/pho-hoa-noodle-soup-charlotte-3?adjust_creative=DpBLZI234zHMqom8nR0rbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DpBLZI234zHMqom8nR0rbg,244,vietnamese,Vietnamese,4.5,35.217429,-80.794365,$,3000 Central Ave,Ste 1,,Charlotte,28205,US,NC,3000 Central Ave,Ste 1,17045367110,(704) 536-7110,4053.922483,,,,,,,"Charlotte, NC 28205",,,,,,,,,,,,,,,,,,
SHFlELFcEcAOJv_fTAKChQ,dandelion-market-charlotte,Dandelion Market,https://s3-media4.fl.yelpcdn.com/bphoto/Ct6mzeNMVCNo66WRFhoTDw/o.jpg,FALSE,https://www.yelp.com/biz/dandelion-market-charlotte?adjust_creative=DpBLZI234zHMqom8nR0rbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DpBLZI234zHMqom8nR0rbg,620,bars,Bars,4,35.2286689,-80.84241,$$,118 W 5th St,,,Charlotte,28202,US,NC,118 W 5th St,"Charlotte, NC 28202",17043337989,(704) 333-7989,3780.704233,,,newamerican,American (New),tapasmallplates,Tapas/Small Plates,,,,,,,,,,,,,,,,,,,
K3iw26MkmSBPAM7BzHkIYQ,yama-asian-fusion-charlotte,Yama Asian Fusion,https://s3-media2.fl.yelpcdn.com/bphoto/VW0cYnXjOxVPdX_r8YVEwQ/o.jpg,FALSE,https://www.yelp.com/biz/yama-asian-fusion-charlotte?adjust_creative=DpBLZI234zHMqom8nR0rbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DpBLZI234zHMqom8nR0rbg,180,japanese,Japanese,4,35.157295,-80.824004,$$,720 Governor Morrison St,Ste 130,,Charlotte,28211,US,NC,720 Governor Morrison St,Ste 130,17042950905,(704) 295-0905,4353.535896,,,asianfusion,Asian Fusion,sushi,Sushi Bars,"Charlotte, NC 28211",,,,,,,,,,,,,,,,,,
